E1090.30,Agricultural Equipment
E1090.40,Horticultural Equipment
E1090.60,Decontamination Equipment
E20,Furnishings
E2010,Fixed Furnishings
E2010.10,Fixed Art
E2010.20,Window Treatments
E2010.30,Casework
E2010.70,Fixed Multiple Seating
E2010.90,Other Fixed Furnishings
E2050,Movable Furnishings
E2050.10,Movable Art
E2050.30,Furniture
E2050.40,Accessories
E2050.60,Movable Multiple Seating
E2050.90,Other Movable Furnishings
F,Special Construction and Demolition
F10,Special Construction
F1010,Integrated Construction
F1010.10,Building Modules
F1010.50,Manufactured/Fabricated Rooms
F1010.70,Modular Mezzanines
F1020,Special Structures
F1020.10,Fabric Structures
F1020.20,Space Frames
F1020.30,Geodesic Structures
F1020.40,Manufacturer-Engineered Structures
F1020.60,Manufactured Canopies
F1020.65,Rammed Earth Construction
F1020.70,Towers
F1030,Special Function Construction
F1030.10,Sound and Vibration Control
F1030.30,Seismic Control
F1030.50,Radiation Protection
F1050,Special Facility Components
F1050.10,Pools
F1050.20,Interior Fountains
F1050.30,Interior Water Features
F1050.40,Aquariums
F1050.50,Amusement Park Structures and Equipment
F1050.60,Ice Rinks
F1050.70,Animal Containment
F1060,Athletic and Recreational Special Construction
F1060.10,Indoor Soccer Boards
F1060.20,Safety Netting
F1060.30,Arena Football Boards
F1060.40,Floor Sockets
F1060.50,Athletic and Recreational Court Walls
F1060.60,Demountable Athletic Surfaces
F1080,Special Instrumentation
F1080.10,Stress Instrumentation
F1080.20,Seismic Instrumentation
F1080.40,Meteorological Instrumentation
F1080.60,Earth Movement Monitoring
F20,Facility Remediation
F2010,Hazardous Materials Remediation
F2010.10,Transportation and Disposal of Hazardous Materials
F2010.20,Asbestos Remediation
F2010.30,Lead Remediation
F2010.40,Polychlorinate Biphenyl Remediation
F2010.50,Mold Remediation
F30,Demolition
F3010,Structure Demolition
F3010.10,Building Demolition
F3010.30,Tower Demolition
F3010.50,Bridge Demolition
F3010.70,Dam Demolition
F3030,Selective Demolition
F3030.10,Selective Building Demolition
F3030.30,Selective Interior Demolition
F3030.50,Selective Bridge Demolition
F3030.70,Selective Historic Demolition
F3050,Structure Moving
F3050.10,Structure Relocation
F3050.30,Structure Raising
G,Sitework
G10,Site Preparation
G1010,Site Clearing
G1010.10,Clearing and Grubbing
G1010.30,Tree and Shrub Removal and Trimming
G1010.50,Earth Stripping and Stockpiling
G1020,Site Elements Demolition
G1020.10,Utility Demolition
G1020.30,Infrastructure Demolition
G1020.50,Selective Site Demolition
G1030,Site Element Relocations
G1030.10,Utility Relocation
G1050,Site Remediation
G1050.10,Physical Decontamination
G1050.15,Chemical Decontamination
G1050.20,Thermal Decontamination
G1050.25,Biological Decontamination
G1050.30,Remediation Soil Stabilization
G1050.40,Site Containment
G1050.45,Sinkhole Remediation
G1050.50,Hazardous Waste Drum Handling
G1050.60,Contaminated Site Material Removal
G1050.80,Water Remediation
G1070,Site Earthwork
G1070.10,Grading
G1070.20,Excavation and Fill
G1070.30,Embankments
G1070.35,Erosion and Sedimentation Controls
G1070.40,Soil Stabilization
G1070.45,Rock Stabilization
G1070.50,Soil Reinforcement
G1070.55,Slope Protection
G1070.60,Gabions
G1070.65,Riprap
G1070.70,Wetlands
G1070.80,Earth Dams
G1070.90,Site Soil Treatment
G20,Site Improvements
G2010,Roadways
G2010.10,Roadway Pavement
G2010.20,Roadway Curbs and Gutters
G2010.40,Roadway Appurtenances
G2010.70,Roadway Lighting
G2010.80,Vehicle Fare Collection
G2020,Parking Lots
G2020.10,Parking Lot Pavement
G2020.20,Parking Lot Curbs and Gutters
G2020.40,Parking Lot Appurtenances
G2020.70,Parking Lot Lighting
G2020.80,Exterior Parking Control Equipment
G2030,Pedestrian Plazas and Walkways
G2030.10,Pedestrian Pavement
G2030.20,Pedestrian Pavement Curbs and Gutters
G2030.30,Exterior Steps and Ramps
G2030.40,Pedestrian Pavement Appurtenances
G2030.70,Plaza and Walkway Lighting
G2030.80,Exterior Pedestrian Control Equipment
G2040,Airfields
G2040.10,Aviation Pavement
G2040.20,Aviation Pavement Curbs and Gutters
G2040.40,Aviation Pavement Appurtenances
G2040.70,Airfield Lighting
G2040.80,Airfield Signaling and Control Equipment
G2050,"Athletic, Recreational, and Playfield Areas"
G2050.10,Athletic Areas
G2050.30,Recreational Areas
G2050.50,Playfield Areas
G2060,Site Development
G2060.10,Exterior Fountains
G2060.20,Fences and Gates
G2060.25,Site Furnishings
G2060.30,Exterior Signage
G2060.35,Flagpoles
G2060.40,Covers and Shelters
G2060.45,Exterior Gas Lighting
G2060.50,Site Equipment
G2060.60,Retaining Walls
G2060.70,Site Bridges
G2060.80,Site Screening Devices
G2060.85,Site Specialties
G2080,Landscaping
G2080.10,Planting Irrigation
G2080.20,Turf and Grasses
G2080.30,Plants
G2080.50,Planting Accessories
G2080.70,Landscape Lighting
G2080.80,Landscaping Activities
G30,Liquid and Gas Site Utilities
G3010,Water Utilities
G3010.10,Site Domestic Water Distribution
G3010.30,Site Fire Protection Water Distribution
G3010.50,Site Irrigation Water Distribution
G3020,Sanitary Sewerage Utilities
G3020.10,Sanitary Sewerage Utility Connection
G3020.20,Sanitary Sewerage Piping
G3020.40,Utility Septic Tanks
G3020.50,Sanitary Sewerage Structures
G3020.60,Sanitary Sewerage Lagoons
G3030,Storm Drainage Utilities
G3030.10,Storm Drainage Utility Connection
G3030.20,Storm Drainage Piping
G3030.30,Culverts
G3030.40,Site Storm Water Drains
G3030.50,Storm Drainage Pumps
G3030.60,Site Subdrainage
G3030.70,Storm Drainage Ponds and Reservoirs
G3050,Site Energy Distribution
G3050.10,Site Hydronic Heating Distribution
G3050.20,Site Steam Energy Distribution
G3050.40,Site Hydronic Cooling Distribution
G3060,Site Fuel Distribution
G3060.10,Site Gas Distribution
G3060.20,Site Fuel-Oil Distribution
G3060.30,Site Gasoline Distribution
G3060.40,Site Diesel Fuel Distribution
G3060.60,Site Aviation Fuel Distribution
G3090,Liquid and Gas Site Utilities Supplementary Components
G3090.10,Supplementary Components
G40,Electrical Site Improvements
G4010,Site Electric Distribution Systems
G4010.10,Electrical Utility Services
G4010.20,Electric Transmission and Distribution
G4010.30,Electrical Substations
G4010.40,Electrical Transformers
G4010.50,Electrical Switchgear and Protection Devices
G4010.70,Site Grounding
G4010.90,Electrical Distribution System Instrumentation and Controls
G4050,Site Lighting
G4050.10,Area Lighting
G4050.20,Flood Lighting
G4050.50,Building Illumination
G4050.90,Exterior Lighting Supplementary Components
G50,Site Communications
G5010,Site Communications Systems
G5010.10,Site Communications Structures
G5010.30,Site Communications Distribution
G5010.50,Wireless Communications Distribution
G90,Miscellaneous Site Construction
G9010,Tunnels
G9010.10,Vehicular Tunnels
G9010.20,Pedestrian Tunnels
G9010.40,Service Tunnels
G9010.90,Tunnel Construction Related Activities
Z,General
Z10,General Requirements
Z1010,Price and Payment Procedures
Z1010.10,Allowances
Z1010.20,Unit Prices
Z1010.30,Alternates
Z1010.40,Value Analysis
Z1010.50,Substitution Procedures
Z1010.60,Contract Modification Procedures
Z1010.70,Payment Procedures
Z1020,Administrative Requirements
Z1020.10,Project Management and Coordination
Z1020.30,Construction Progress Documentation
Z1020.50,Submittal Procedures
Z1020.70,Special Procedures
Z1040,Quality Requirements
Z1040.10,Regulatory Requirements
Z1040.30,References
Z1040.40,Quality Assurance
Z1040.80,Quality Control
Z1050,Temporary Facilities and Controls
Z1050.10,Temporary Utilities
Z1050.20,Construction Facilities
Z1050.25,Temporary Construction
Z1050.30,Construction Aids
Z1050.35,Temporary Vehicular Access and Parking
Z1050.40,Temporary Barriers and Enclosures
Z1050.50,Temporary Controls
Z1050.70,Project Identification
Z1060,Product Requirements
Z1060.10,Common Product Requirements
Z1060.20,Product Options
Z1060.30,Owner-Furnished Products
Z1060.40,Product Delivery Requirements
Z1060.50,Product Storage and Handling Requirements
Z1070,Execution and Closeout Requirements
Z1070.10,Examination and Preparation
Z1070.20,Execution
Z1070.30,Cleaning and Waste Management
Z1070.40,Starting and Adjusting
Z1070.50,Protecting Installed Construction
Z1070.60,Closeout Procedures
Z1070.70,Closeout Submittals
Z1070.80,Demonstration and Training
Z1090,Life Cycle Activities
Z1090.10,Commissioning
Z1090.30,Facility Operation
Z1090.50,Facility Maintenance
Z1090.80,Facility Decommissioning
Z70,"Taxes, Permits, Insurance and Bonds"
Z7010,Taxes
Z7030,License Fees
Z7050,Permit Costs
Z7070,Bond Fees
Z90,Fees and Contingencies
Z9010,Overhead
Z9030,Profit
Z9050,Construction Contingencies
Z9050.10,Design Contingencies
Z9050.30,Bidding Contingencies
Z9050.50,Escalation Contingencies
Z9090,Financing Costs
